freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.999e+02,2.666e+01,2.441e+01,4.510e+02
1.6,2.908e+02,3.699e+01,4.241e+01,3.702e+02
3.1,9.734e+01,2.644e+01,3.666e+01,1.604e+02
4.7,4.353e+02,2.877e+01,3.693e+01,5.010e+02
6.2,1.300e+03,2.966e+01,3.424e+01,1.364e+03
7.8,2.155e+03,3.328e+01,3.655e+01,2.225e+03
9.4,3.231e+03,3.802e+01,3.671e+01,3.306e+03
10.9,4.250e+03,4.410e+01,3.630e+01,4.330e+03
12.5,5.124e+03,3.733e+01,3.637e+01,5.198e+03
14.0,6.678e+03,3.317e+01,3.341e+01,6.744e+03
15.6,8.763e+03,3.070e+01,3.267e+01,8.826e+03
17.2,1.076e+04,4.446e+01,4.017e+01,1.084e+04
18.7,1.245e+04,7.311e+01,4.384e+01,1.256e+04
20.3,1.482e+04,8.107e+01,4.026e+01,1.494e+04
21.8,1.801e+04,8.362e+01,3.605e+01,1.813e+04
23.4,2.194e+04,9.664e+01,3.429e+01,2.207e+04
24.9,2.613e+04,1.114e+02,3.642e+01,2.628e+04
26.5,3.122e+04,1.407e+02,4.554e+01,3.141e+04
28.1,3.651e+04,1.927e+02,5.520e+01,3.676e+04
29.6,4.397e+04,2.458e+02,7.318e+01,4.429e+04
31.2,5.472e+04,3.257e+02,9.690e+01,5.514e+04
32.7,6.688e+04,4.386e+02,1.254e+02,6.744e+04
34.3,7.807e+04,6.299e+02,1.494e+02,7.884e+04
35.9,9.531e+04,9.801e+02,1.736e+02,9.646e+04
37.4,1.173e+05,1.556e+03,3.218e+02,1.192e+05
39.0,1.394e+05,2.199e+03,5.109e+02,1.421e+05
40.5,1.681e+05,2.929e+03,4.499e+02,1.714e+05
42.1,2.167e+05,4.231e+03,6.789e+02,2.216e+05
43.7,3.259e+05,7.545e+03,2.899e+03,3.363e+05
45.2,5.053e+05,1.494e+04,1.074e+04,5.310e+05
46.8,7.303e+05,2.568e+04,2.238e+04,7.784e+05
48.3,9.864e+05,3.979e+04,3.474e+04,1.061e+06
49.9,1.183e+06,6.083e+04,5.130e+04,1.295e+06
51.5,1.088e+06,7.300e+04,6.340e+04,1.224e+06
53.0,7.892e+05,5.999e+04,5.849e+04,9.077e+05
54.6,5.665e+05,4.498e+04,5.082e+04,6.623e+05
56.1,4.277e+05,3.669e+04,4.527e+04,5.097e+05
57.7,3.281e+05,3.000e+04,3.901e+04,3.971e+05
59.3,2.566e+05,2.371e+04,3.268e+04,3.130e+05
60.8,2.162e+05,1.831e+04,2.774e+04,2.623e+05
62.4,2.030e+05,1.584e+04,2.342e+04,2.422e+05
63.9,1.931e+05,1.682e+04,2.013e+04,2.301e+05
65.5,1.715e+05,1.839e+04,1.826e+04,2.082e+05
67.0,1.387e+05,1.825e+04,1.678e+04,1.738e+05
68.6,1.062e+05,1.501e+04,1.423e+04,1.354e+05
70.2,7.947e+04,1.217e+04,1.169e+04,1.033e+05
71.7,6.390e+04,1.048e+04,9.732e+03,8.411e+04
73.3,5.841e+04,6.494e+03,7.397e+03,7.230e+04
74.8,5.518e+04,2.535e+03,4.752e+03,6.247e+04
76.4,4.944e+04,1.997e+03,3.203e+03,5.464e+04
78.0,4.003e+04,2.772e+03,2.469e+03,4.527e+04
79.5,3.157e+04,4.112e+03,2.105e+03,3.779e+04
81.1,2.563e+04,5.057e+03,1.808e+03,3.250e+04
82.6,1.893e+04,4.790e+03,1.599e+03,2.532e+04
84.2,1.401e+04,4.677e+03,1.816e+03,2.051e+04
85.8,9.904e+03,4.320e+03,2.351e+03,1.658e+04
