freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.767e+01,2.383e+02,8.037e+01,3.363e+02
1.6,7.823e+01,1.528e+02,6.612e+01,2.971e+02
3.2,9.552e+01,4.327e+01,2.680e+01,1.656e+02
4.7,1.034e+02,4.111e+02,2.777e+01,5.423e+02
6.3,9.571e+01,1.379e+03,2.819e+01,1.503e+03
7.9,9.129e+01,2.317e+03,2.913e+01,2.437e+03
9.5,1.047e+02,3.510e+03,2.933e+01,3.644e+03
11.0,1.577e+02,4.614e+03,3.049e+01,4.803e+03
12.6,1.882e+02,5.659e+03,3.004e+01,5.877e+03
14.2,1.779e+02,7.612e+03,3.140e+01,7.822e+03
15.8,1.783e+02,9.885e+03,3.789e+01,1.010e+04
17.4,2.274e+02,1.244e+04,5.148e+01,1.272e+04
18.9,2.069e+02,1.428e+04,5.407e+01,1.454e+04
20.5,1.269e+02,1.756e+04,4.046e+01,1.773e+04
22.1,1.060e+02,2.230e+04,3.775e+01,2.244e+04
23.7,1.101e+02,2.840e+04,4.254e+01,2.856e+04
25.2,1.147e+02,3.563e+04,8.239e+01,3.582e+04
26.8,1.349e+02,4.473e+04,1.541e+02,4.502e+04
28.4,1.199e+02,5.495e+04,3.635e+02,5.544e+04
30.0,1.241e+02,7.298e+04,1.037e+03,7.414e+04
31.6,1.236e+02,1.038e+05,2.675e+03,1.066e+05
33.1,1.300e+02,1.463e+05,7.165e+03,1.536e+05
34.7,2.439e+02,2.079e+05,2.155e+04,2.297e+05
36.3,7.535e+02,2.700e+05,5.687e+04,3.276e+05
37.9,7.778e+02,2.550e+05,1.035e+05,3.593e+05
39.4,5.233e+02,1.561e+05,1.257e+05,2.822e+05
41.0,5.176e+02,6.793e+04,1.118e+05,1.803e+05
42.6,4.702e+02,3.421e+04,9.514e+04,1.298e+05
44.2,5.417e+02,2.698e+04,8.496e+04,1.125e+05
45.8,6.438e+02,3.105e+04,7.845e+04,1.101e+05
47.3,7.193e+02,5.803e+04,8.917e+04,1.479e+05
48.9,1.036e+03,1.361e+05,1.317e+05,2.689e+05
50.5,1.355e+03,2.320e+05,1.633e+05,3.966e+05
52.1,1.297e+03,2.892e+05,1.542e+05,4.447e+05
53.6,1.292e+03,3.108e+05,1.356e+05,4.477e+05
55.2,1.179e+03,3.023e+05,1.140e+05,4.174e+05
56.8,9.095e+02,2.682e+05,9.851e+04,3.677e+05
58.4,1.063e+03,2.380e+05,8.846e+04,3.275e+05
59.9,1.603e+03,2.110e+05,7.869e+04,2.913e+05
61.5,1.732e+03,2.009e+05,7.503e+04,2.777e+05
63.1,1.772e+03,1.772e+05,6.540e+04,2.444e+05
64.7,1.389e+03,1.472e+05,5.244e+04,2.011e+05
66.3,9.716e+02,1.327e+05,4.335e+04,1.770e+05
